Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2018,6,06/12/2018,Sofft,F,Belden,Gold,1101335,M,060,Sh,Vision/Sofftshoe.Com,1
2018,6,06/13/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,1
2018,6,06/13/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Lansky Bros,1
2018,6,06/27/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Vision/Sofftshoe.Com,1
2018,6,06/28/2018,Sofft,F,Belden,Gold,1101335,M,060,Sh,Designer Brands Inc.,97
2018,7,07/18/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,-1
2018,7,07/18/2018,Sofft,F,Belden,Red,1101332,M,095,Sh,Nordstrom,-1
2018,8,08/06/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Rue La La,10
2018,8,08/09/2018,Sofft,F,Belden,Black,1101331,M,085,Sh,6Pm,4
2018,8,08/15/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Nordstrom,-3
2018,9,09/06/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,"Burlington Stores, Inc",1
2018,10,10/02/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,6Pm,1
2018,10,10/02/2018,Sofft,F,Belden,Gold,1101335,M,065,Sh,6Pm,1
2018,10,10/16/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Shoebuy.Com.Inc.,-1
2018,10,10/24/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,-1
2018,11,11/08/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,Sports For U International,1
2018,11,11/08/2018,Sofft,F,Belden,Black,1101331,M,100,Sh,Sports For U International,1
2018,1,01/31/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Shoebuy.Com.Inc.,1
2018,2,02/01/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Vision/Sofftshoe.Com,-1
2018,2,02/05/2018,Sofft,F,Belden,Red,1101332,M,075,Sh,Nordstrom,1
2018,2,02/06/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Shoebuy.Com.Inc.,-1
2018,2,02/07/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,-1
2018,2,02/08/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,"Zulily, Llc",15
2018,2,02/08/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,"Zulily, Llc",4
2018,2,02/08/2018,Sofft,F,Belden,Red,1101332,M,065,Sh,Nordstrom,-1
2018,2,02/08/2018,Sofft,F,Belden,Red,1101332,M,065,Sh,"Zulily, Llc",1
2018,2,02/08/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,"Zulily, Llc",4
2018,2,02/09/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Vision/Sofftshoe.Com,1
2018,2,02/12/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,Nordstrom,-3
2018,2,02/13/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,2
2018,2,02/15/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,-1
2018,2,02/16/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,1
2018,2,02/20/2018,Sofft,F,Belden,Red,1101332,M,095,Sh,Shoebuy.Com.Inc.,1
2018,2,02/21/2018,Sofft,F,Belden,Gold,1101335,M,060,Sh,Shoebuy.Com.Inc.,1
2018,2,02/21/2018,Sofft,F,Belden,Gold,1101335,M,070,Sh,Vision/Sofftshoe.Com,1
2018,2,02/22/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,-2
2018,2,02/23/2018,Sofft,F,Belden,Black,1101331,M,100,Sh,Thewalkingcompany.Com,-1
2018,3,03/06/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,-4
2018,3,03/06/2018,Sofft,F,Belden,Gold,1101335,M,060,Sh,6Pm,3
2018,3,03/06/2018,Sofft,F,Belden,Gold,1101335,M,110,Sh,6Pm,4
2018,3,03/06/2018,Sofft,F,Belden,Red,1101332,M,100,Sh,Nordstrom,-1
2018,3,03/07/2018,Sofft,F,Belden,Red,1101332,M,110,Sh,Nordstrom,-1
2018,3,03/12/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Full Beauty Brands,-1
2018,3,03/12/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Vision/Sofftshoe.Com,-1
2018,3,03/13/2018,Sofft,F,Belden,Red,1101332,M,060,Sh,Nordstrom,1
2018,3,03/13/2018,Sofft,F,Belden,Red,1101332,M,085,Sh,Shoebuy.Com.Inc.,1
2018,3,03/13/2018,Sofft,F,Belden,Red,1101332,M,095,Sh,Dsw Inc. Dsw Drop Ship,1
2018,3,03/20/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Shoebuy.Com.Inc.,1
2018,3,03/20/2018,Sofft,F,Belden,Red,1101332,M,085,Sh,Dsw Inc. Dsw Drop Ship,1
2018,3,03/21/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Shoebuy.Com.Inc.,1
2018,3,03/26/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Nordstrom,-1
2018,3,03/26/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Shoebuy.Com.Inc.,-1
2018,3,03/29/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Vision/Sofftshoe.Com,-1
2018,3,03/30/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Vision/Sofftshoe.Com,1
2018,4,04/03/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,1
2018,4,04/03/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Dsw Inc. Dsw Drop Ship,1
2018,4,04/03/2018,Sofft,F,Belden,Gold,1101335,M,065,Sh,Marshall Retail Group Llc,-10
2018,4,04/04/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Shoebuy.Com.Inc.,1
2018,4,04/04/2018,Sofft,F,Belden,Red,1101332,M,095,Sh,Shoebuy.Com.Inc.,1
2018,4,04/05/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Lansky Bros,1
2018,4,04/10/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Qvc Inc/Drop Ship,1
2018,4,04/10/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,Shoebuy.Com.Inc.,1
2018,4,04/10/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,Shoebuy.Com.Inc.,1
2018,4,04/11/2018,Sofft,F,Belden,Gold,1101335,M,065,Sh,Lansky Bros,1
2018,4,04/11/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,Nordstrom,1
2018,4,04/12/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,-2
2018,4,04/13/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,-1
2018,4,04/13/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,1
2018,4,04/13/2018,Sofft,F,Belden,Red,1101332,M,060,Sh,Nordstrom,-1
2018,4,04/16/2018,Sofft,F,Belden,Gold,1101335,M,110,Sh,Vision/Sofftshoe.Com,1
2018,4,04/16/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,Dsw Inc. Dsw Drop Ship,1
2018,4,04/17/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Shoebuy.Com.Inc.,1
2018,4,04/17/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Vision/Shoeline.Com,1
2018,4,04/18/2018,Sofft,F,Belden,Gold,1101335,M,070,Sh,Dsw Inc. Dsw Drop Ship,1
2018,4,04/20/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Shoebuy.Com.Inc.,-1
2018,4,04/24/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,Lansky Bros,1
2018,4,04/24/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Lansky Bros,1
2018,4,04/26/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Shoeline.Com,1
2018,4,04/30/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vision/Sofftshoe.Com,1
2018,5,05/01/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,1
2018,5,05/01/2018,Sofft,F,Belden,Gold,1101335,M,110,Sh,Vision/Sofftshoe.Com,1
2018,4,04/04/2018,Sofft,F,Belden,Gold,1101335,M,070,Sh,Vision/Sofftshoe.Com,1
2018,4,04/04/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Sofftshoe.Com,1
2018,4,04/04/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Shoebuy.Com.Inc.,1
2018,4,04/04/2018,Sofft,F,Belden,Red,1101332,M,075,Sh,Qvc Inc/Drop Ship,-1
2018,4,04/04/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,Qvc Inc/Drop Ship,-1
2018,4,04/05/2018,Sofft,F,Belden,Gold,1101335,M,065,Sh,Vision/Shoeline.Com,1
2018,4,04/10/2018,Sofft,F,Belden,Red,1101332,M,100,Sh,Dsw Inc. Dsw Drop Ship,1
2018,4,04/13/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,Nordstrom,-1
2018,4,04/13/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2018,4,04/16/2018,Sofft,F,Belden,Red,1101332,M,075,Sh,Nordstrom,2
2018,4,04/18/2018,Sofft,F,Belden,Red,1101332,M,100,Sh,Thewalkingcompany.Com,1
2018,4,04/20/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,Nordstrom,-3
2018,4,04/24/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,1
2018,5,05/04/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Vision/Sofftshoe.Com,1
2018,5,05/14/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,Vision/Sofftshoe.Com,1
2018,5,05/14/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vision/Sofftshoe.Com,1
2018,5,05/15/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,3
2018,5,05/17/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Vision/Shoeline.Com,1
2018,5,05/18/2018,Sofft,F,Belden,Red,1101332,M,070,Sh,Nordstrom,-1
2018,5,05/22/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,-2
2018,5,05/22/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,-3
2018,5,05/22/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,Shoebuy.Com.Inc.,2
2018,5,05/25/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,1
2018,5,05/29/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Vision/Sofftshoe.Com,1
2018,5,05/29/2018,Sofft,F,Belden,Red,1101332,M,075,Sh,Dsw Inc. Dsw Drop Ship,1
2018,5,05/31/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Sofftshoe.Com,-1
2018,6,06/05/2018,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,1
2018,6,06/06/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,-2
2018,6,06/06/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,-1
2018,6,06/06/2018,Sofft,F,Belden,Gold,1101335,M,065,Sh,Shoebuy.Com.Inc.,1
2018,6,06/15/2018,Sofft,F,Belden,Black,1101331,M,085,Sh,Vision/Sofftshoe.Com,-1
2018,6,06/25/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,1
2018,6,06/28/2018,Sofft,F,Belden,Black,1101331,M,100,Sh,Designer Brands Inc.,1
2018,6,06/28/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Designer Brands Inc.,19
2018,7,07/09/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,Qvc Inc/Drop Ship,-1
2018,7,07/10/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vernon Powell Shoe Co Inc,-9
2018,7,07/10/2018,Sofft,F,Belden,Red,1101332,M,090,Sh,Nordstrom,-1
2018,7,07/13/2018,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,-1
2018,7,07/20/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,-1
2018,8,08/06/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Rue La La,11
2018,8,08/06/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Rue La La,4
2018,8,08/06/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Rue La La,3
2018,8,08/06/2018,Sofft,F,Belden,Red,1101332,M,060,Sh,Rue La La,2
2018,8,08/09/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,6Pm,3
2018,8,08/09/2018,Sofft,F,Belden,Black,1101331,M,100,Sh,6Pm,3
2018,8,08/20/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,2
2018,8,08/20/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,1
2018,8,08/30/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,-1
2018,9,09/06/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,"Burlington Stores, Inc",5
2018,11,11/08/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Sports For U International,1
2018,11,11/08/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Sports For U International,2
2018,12,12/27/2018,Sofft,F,Belden,Black,1101331,M,065,Sh,Marden's,1
2018,12,12/27/2018,Sofft,F,Belden,Black,1101331,M,095,Sh,Marden's,1
2018,8,08/09/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,6Pm,4
2018,8,08/09/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,6Pm,3
2018,8,08/17/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Lansky Bros,1
2018,8,08/17/2018,Sofft,F,Belden,Gold,1101335,M,060,Sh,Lansky Bros,1
2018,9,09/06/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,"Burlington Stores, Inc",3
2018,9,09/06/2018,Sofft,F,Belden,Gold,1101335,M,075,Sh,"Burlington Stores, Inc",1
2018,9,09/06/2018,Sofft,F,Belden,Red,1101332,M,070,Sh,"Burlington Stores, Inc",3
